Vehicle_1,Vehicle_2,Vehicle_3,Actual_Winner,Lane,Lap_1_Track,Lap_1_Len,Lap_2_Track,Lap_2_Len,Lap_3_Track,Lap_3_Len,Predicted_Winner,Top_Prob,Was_Correct,Timestamp,Sim_Predicted_Winner,ML_Predicted_Winner,Sim_Top_Prob,ML_Top_Prob,Sim_Was_Correct,ML_Was_Correct
Supercar,Sports Car,ORV,Sports Car,Lap 3,Desert,10.0,Expressway,70.0,Dirt,20.0,Supercar,0.9823990176009824,0.0,,,,,,,
Supercar,Sports Car,ORV,Supercar,Lap 3,Desert,10.0,Expressway,70.0,Dirt,20.0,Supercar,0.9823990176009824,1.0,,,,,,,
Sports Car,Motorcycle,SUV,Motorcycle,Lap 2,Potholes,30.0,Potholes,30.0,Bumpy,40.0,SUV,0.999998000004,0.0,,,,,,,
Car,ORV,Motorcycle,Motorcycle,Lap 2,Potholes,33.0,Potholes,33.0,Potholes,34.0,ORV,0.999998000004,0.0,,,,,,,
Stock Car,Motorcycle,Monster Truck,Monster Truck,Lap 2,Potholes,40.0,Dirt,20.0,Bumpy,40.0,Stock Car,0.999998000004,0.0,,,,,,,
Motorcycle,SUV,Monster Truck,Motorcycle,Lap 1,Desert,35.0,Potholes,10.0,Highway,55.0,SUV,0.999998000004,0.0,,,,,,,
Monster Truck,ORV,SUV,Monster Truck,Lap 1,Potholes,30.0,Desert,10.0,Potholes,60.0,SUV,0.9201990798009204,0.0,,,,,,,
Monster Truck,ORV,ATV,ORV,Lap 2,Dirt,45.0,Dirt,45.0,Potholes,10.0,ORV,0.999998000004,1.0,,,,,,,
Monster Truck,Motorcycle,ATV,Monster Truck,Lap 3,Expressway,40.0,Expressway,30.0,Desert,30.0,Motorcycle,0.5202,0.0,,,,,,,
Supercar,Monster Truck,ATV,ATV,Lap 1,Highway,25.0,Expressway,15.0,Desert,60.0,,,,,,,,,,
ORV,Supercar,Car,ORV,Lap 2,Desert,30.0,Potholes,10.0,Potholes,60.0,,,,,,,,,,
Sports Car,ORV,SUV,ORV,Lap 1,Desert,30.0,Desert,30.0,Bumpy,40.0,,,,,,,,,,
